county,precinct,PRES20D,PRES20L,PRES20R,PREC
Appling,1B,116,7,870,"APPLING, 1B"
Appling,1C,44,2,594,"APPLING, 1C"
Appling,2,908,9,531,"APPLING, 2"
Appling,3A1,20,4,587,"APPLING, 3A1"
Appling,3C,288,4,843,"APPLING, 3C"
Appling,4B,23,2,647,"APPLING, 4B"
Appling,4D,130,1,1048,"APPLING, 4D"
Appling,5A,118,5,697,"APPLING, 5A"
Appling,5B,132,2,709,"APPLING, 5B"
Atkinson,Axson,45,3,479,"ATKINSON, AXSON"
Atkinson,Pearson City,329,6,229,"ATKINSON, PEARSON CITY"
Atkinson,Pearson County,160,11,1026,"ATKINSON, PEARSON COUNTY"
Atkinson,Willacoochee,291,10,566,"ATKINSON, WILLACOOCHEE"
Bacon,Douglas,625,25,4018,"BACON, DOUGLAS"
Baker,Anna,31,0,93,"BAKER, ANNA"
Baker,Elmodel,148,0,141,"BAKER, ELMODEL"
Baker,Hoggards Mill,111,3,120,"BAKER, HOGGARDS MILL"
Baker,Milford,69,0,137,"BAKER, MILFORD"
Baker,Newton,293,3,406,"BAKER, NEWTON"
Baldwin,Boddie,547,6,134,"BALDWIN, BODDIE"
Baldwin,City Hall Annex,331,6,153,"BALDWIN, CITY HALL ANNEX"
Baldwin,Coopers,320,10,784,"BALDWIN, COOPERS"
Baldwin,Courthouse,169,6,113,"BALDWIN, COURTHOUSE"
Baldwin,East Baldwin,1159,28,1581,"BALDWIN, EAST BALDWIN"
Baldwin,East Hardwick,520,12,140,"BALDWIN, EAST HARDWICK"
Baldwin,Fire Dept,711,10,212,"BALDWIN, FIRE DEPT"
Baldwin,Meriweather,831,26,1366,"BALDWIN, MERIWEATHER"
Baldwin,North Baldwin,810,24,1891,"BALDWIN, NORTH BALDWIN"
Baldwin,North Milledgeville,859,22,793,"BALDWIN, NORTH MILLEDGEVILLE"
Baldwin,Scottsboro,275,8,426,"BALDWIN, SCOTTSBORO"
Baldwin,South Milledgeville,583,9,179,"BALDWIN, SOUTH MILLEDGEVILLE"
Baldwin,West Baldwin,604,19,731,"BALDWIN, WEST BALDWIN"
Baldwin,West Hardwick,1421,22,400,"BALDWIN, WEST HARDWICK"
Banks,Anderson,100,12,901,"BANKS, ANDERSON"
Banks,Baldwin,103,6,528,"BANKS, BALDWIN"
Banks,Berlin,29,0,266,"BANKS, BERLIN"
Banks,Bushville,42,3,468,"BANKS, BUSHVILLE"
Banks,Columbia,20,0,258,"BANKS, COLUMBIA"
Banks,Davids,166,11,1107,"BANKS, DAVIDS"
Banks,Golden Hill,80,7,538,"BANKS, GOLDEN HILL"
Banks,Grove River,33,4,387,"BANKS, GROVE RIVER"
Banks,Hollingsworth,53,3,432,"BANKS, HOLLINGSWORTH"
Banks,Homer,108,6,957,"BANKS, HOMER"
Banks,Poplar Springs,113,15,1121,"BANKS, POPLAR SPRINGS"
Banks,Washington,53,4,438,"BANKS, WASHINGTON"
Banks,Wilmonts,32,3,394,"BANKS, WILMONTS"
Barrow,01 Bethlehem Community Center,560,40,1728,"BARROW, 01 BETHLEHEM COMMUNITY CENTER"
Barrow,02 Bethlehem Church - 211,966,72,4033,"BARROW, 02 BETHLEHEM CHURCH - 211"
Barrow,03 Hmong New Hope Alliance Church,943,74,3098,"BARROW, 03 HMONG NEW HOPE ALLIANCE CHURCH"
Barrow,04 Covenant Life Sanctuary,624,54,1904,"BARROW, 04 COVENANT LIFE SANCTUARY"
