PREC,PREC_match,county,precinct,PRES20D,PRES20L,PRES20R
"APPLING, 1B","APPLING, 1B",Appling,1B,116,7,870
"APPLING, 1C","APPLING, 1C",Appling,1C,44,2,594
"APPLING, 2","APPLING, 2",Appling,2,908,9,531
"APPLING, 3A1","APPLING, 3A1",Appling,3A1,20,4,587
"APPLING, 3C","APPLING, 3C",Appling,3C,288,4,843
"APPLING, 4B","APPLING, 4B",Appling,4B,23,2,647
"APPLING, 4D","APPLING, 4D",Appling,4D,130,1,1048
"APPLING, 5A","APPLING, 5A",Appling,5A,118,5,697
"APPLING, 5B","APPLING, 5B",Appling,5B,132,2,709
"ATKINSON, AXSON","ATKINSON, AXSON",Atkinson,Axson,45,3,479
"ATKINSON, PEARSON CITY","ATKINSON, PEARSON CITY",Atkinson,Pearson City,329,6,229
"ATKINSON, PEARSON COUNTY","ATKINSON, PEARSON COUNTY",Atkinson,Pearson County,160,11,1026
"ATKINSON, WILLACOOCHEE","ATKINSON, WILLACOOCHEE",Atkinson,Willacoochee,291,10,566
"BACON, DOUGLAS","BACON, DOUGLAS",Bacon,Douglas,625,25,4018
"BAKER, ANNA","BAKER, ANNA",Baker,Anna,31,0,93
"BAKER, ELMODEL","BAKER, ELMODEL",Baker,Elmodel,148,0,141
"BAKER, HOGGARDS MILL","BAKER, HOGGARD MILL",Baker,Hoggards Mill,111,3,120
"BAKER, MILFORD","BAKER, MILFORD",Baker,Milford,69,0,137
"BAKER, NEWTON","BAKER, NEWTON",Baker,Newton,293,3,406
"BALDWIN, BODDIE","BALDWIN, BODDIE",Baldwin,Boddie,547,6,134
"BALDWIN, CITY HALL ANNEX","BALDWIN, CITY HALL ANNEX",Baldwin,City Hall Annex,331,6,153
"BALDWIN, COOPERS","BALDWIN, COOPERS",Baldwin,Coopers,320,10,784
"BALDWIN, COURTHOUSE","BALDWIN, COURTHOUSE",Baldwin,Courthouse,169,6,113
"BALDWIN, EAST BALDWIN","BALDWIN, EAST BALDWIN",Baldwin,East Baldwin,1159,28,1581
"BALDWIN, EAST HARDWICK","BALDWIN, EAST HARDWICK",Baldwin,East Hardwick,520,12,140
"BALDWIN, FIRE DEPT","BALDWIN, FIRE DEPT",Baldwin,Fire Dept,711,10,212
"BALDWIN, MERIWEATHER","BALDWIN, MERIWEATHER",Baldwin,Meriweather,831,26,1366
"BALDWIN, NORTH BALDWIN","BALDWIN, NORTH BALDWIN",Baldwin,North Baldwin,810,24,1891
"BALDWIN, NORTH MILLEDGEVILLE","BALDWIN, NORTH MILL",Baldwin,North Milledgeville,859,22,793
"BALDWIN, SCOTTSBORO","BALDWIN, SCOTTSBORO",Baldwin,Scottsboro,275,8,426
"BALDWIN, SOUTH MILLEDGEVILLE","BALDWIN, SOUTH MILL",Baldwin,South Milledgeville,583,9,179
"BALDWIN, WEST BALDWIN","BALDWIN, WEST BALDWIN",Baldwin,West Baldwin,604,19,731
"BALDWIN, WEST HARDWICK","BALDWIN, WEST HARDWICK",Baldwin,West Hardwick,1421,22,400
"BANKS, ANDERSON","BANKS, ANDERSON",Banks,Anderson,100,12,901
"BANKS, BALDWIN","BANKS, BALDWIN",Banks,Baldwin,103,6,528
"BANKS, BERLIN","BANKS, BERLIN",Banks,Berlin,29,0,266
"BANKS, BUSHVILLE","BANKS, BUSHVILLE",Banks,Bushville,42,3,468
"BANKS, COLUMBIA","BANKS, COLUMBIA",Banks,Columbia,20,0,258
"BANKS, DAVIDS","BANKS, DAVIDS",Banks,Davids,166,11,1107
"BANKS, GOLDEN HILL","BANKS, GOLDEN HILL",Banks,Golden Hill,80,7,538
"BANKS, GROVE RIVER","BANKS, GROVE RIVER",Banks,Grove River,33,4,387
"BANKS, HOLLINGSWORTH","BANKS, HOLLINGSWORTH",Banks,Hollingsworth,53,3,432
"BANKS, HOMER","BANKS, HOMER",Banks,Homer,108,6,957
"BANKS, POPLAR SPRINGS","BANKS, POPLAR SPRINGS",Banks,Poplar Springs,113,15,1121
"BANKS, WASHINGTON","BANKS, WASHINGTON",Banks,Washington,53,4,438
"BANKS, WILMONTS","BANKS, WILMONTS",Banks,Wilmonts,32,3,394
"BARROW, 01 BETHLEHEM COMMUNITY CENTER","BARROW, 01 BETHLEHEM COMMUNITY CENTER",Barrow,01 Bethlehem Community Center,560,40,1728
"BARROW, 02 BETHLEHEM CHURCH - 211","BARROW, 02 BETHLEHEM CHURCH - 211",Barrow,02 Bethlehem Church - 211,966,72,4033
"BARROW, 03 HMONG NEW HOPE ALLIANCE CHURCH","BARROW, 03 BRAMLETT ELEMENTARY SCHOOL",Barrow,03 Hmong New Hope Alliance Church,943,74,3098
"BARROW, 04 COVENANT LIFE SANCTUARY","BARROW, 04 WESTSIDE MIDDLE SCHOOL",Barrow,04 Covenant Life Sanctuary,624,54,1904
